systemname,passrate,uml1,uml2,uml3,uml4,uml5
AirTravel,1.00,✅,✅,✅,✅,✅
AlphaInsurance,1.00,✅,✅,✅,✅,✅
BankAccount,1.00,✅,✅,✅,✅,✅
Boeing,0.80,✅,✅,✅,✅,❌
BuildingManagement,1.00,✅,✅,✅,✅,✅
BusTransportationManagementSystem,1.00,✅,✅,✅,✅,✅
CardGameApp,0.60,✅,✅,❌,❌,✅
CelO,1.00,✅,✅,✅,✅,✅
ClothingCompany,1.00,✅,✅,✅,✅,✅
Cruise,1.00,✅,✅,✅,✅,✅
DestroyBlockGame,1.00,✅,✅,✅,✅,✅
EUScienceConnect,0.80,✅,✅,✅,✅,❌
Ebike,1.00,✅,✅,✅,✅,✅
Facepage,0.60,❌,✅,✅,❌,✅
FilmSet,0.80,❌,✅,✅,✅,✅
FitnessCompanyConan,0.80,✅,❌,✅,✅,✅
GameArea,1.00,✅,✅,✅,✅,✅
GasStation_KUL,1.00,✅,✅,✅,✅,✅
GasStation_TUW,0.80,✅,✅,✅,✅,❌
HelpingHands,0.80,✅,✅,✅,✅,❌
HomeForTheElderly,1.00,✅,✅,✅,✅,✅
HospitalHouseMD,1.00,✅,✅,✅,✅,✅
HotelBookingManagementSystem,1.00,✅,✅,✅,✅,✅
House,1.00,✅,✅,✅,✅,✅
Kinepolis,1.00,✅,✅,✅,✅,✅
LabTracker,0.60,✅,✅,✅,❌,❌
Louvre,1.00,✅,✅,✅,✅,✅
Menso,0.80,❌,✅,✅,✅,✅
Musicmatic,1.00,✅,✅,✅,✅,✅
OnlineTutoringSystem,1.00,✅,✅,✅,✅,✅
PizzaDeliveryWithEntertainment,0.80,✅,❌,✅,✅,✅
ProjectManagement,1.00,✅,✅,✅,✅,✅
School,1.00,✅,✅,✅,✅,✅
SellingGoods,0.80,✅,✅,✅,✅,❌
Sightseeing,1.00,✅,✅,✅,✅,✅
SmartHomeAutomationSystem,0.80,✅,✅,❌,✅,✅
Sober,1.00,✅,✅,✅,✅,✅
StudentAppointment,1.00,✅,✅,✅,✅,✅
TeamSportsScoutingSystem,0.80,✅,❌,✅,✅,✅
TileOGame,1.00,✅,✅,✅,✅,✅
TransportCompany,1.00,✅,✅,✅,✅,✅
TreatmentPlans,1.00,✅,✅,✅,✅,✅
TruckLogistics,1.00,✅,✅,✅,✅,✅
University,0.80,✅,✅,✅,❌,✅
eHome2020,1.00,✅,✅,✅,✅,✅
