systemname,passrate,uml1,uml2,uml3,uml4,uml5
AirTravel,0.00,❌,❌,❌,❌,❌
AlphaInsurance,0.20,❌,❌,❌,❌,✅
BankAccount,0.00,❌,❌,❌,❌,❌
Boeing,0.00,❌,❌,❌,❌,❌
BuildingManagement,0.60,✅,❌,✅,✅,❌
BusTransportationManagementSystem,0.00,❌,❌,❌,❌,❌
CardGameApp,0.20,❌,❌,❌,❌,✅
CelO,0.00,❌,❌,❌,❌,❌
ClothingCompany,0.40,✅,❌,❌,❌,✅
Cruise,0.00,❌,❌,❌,❌,❌
DestroyBlockGame,0.20,❌,✅,❌,❌,❌
EUScienceConnect,0.00,❌,❌,❌,❌,❌
Ebike,0.20,❌,❌,✅,❌,❌
Facepage,0.20,❌,❌,✅,❌,❌
FilmSet,0.20,❌,❌,✅,❌,❌
FitnessCompanyConan,0.20,✅,❌,❌,❌,❌
GameArea,0.00,❌,❌,❌,❌,❌
GasStation_KUL,0.00,❌,❌,❌,❌,❌
GasStation_TUW,0.00,❌,❌,❌,❌,❌
HelpingHands,0.20,❌,✅,❌,❌,❌
HomeForTheElderly,0.00,❌,❌,❌,❌,❌
HospitalHouseMD,0.20,❌,❌,✅,❌,❌
HotelBookingManagementSystem,0.20,❌,❌,❌,❌,✅
House,0.20,❌,❌,❌,❌,✅
Kinepolis,0.00,❌,❌,❌,❌,❌
LabTracker,0.40,❌,❌,✅,❌,✅
Louvre,0.00,❌,❌,❌,❌,❌
Menso,0.00,❌,❌,❌,❌,❌
Musicmatic,0.20,❌,❌,✅,❌,❌
OnlineTutoringSystem,0.00,❌,❌,❌,❌,❌
PizzaDeliveryWithEntertainment,0.00,❌,❌,❌,❌,❌
ProjectManagement,0.00,❌,❌,❌,❌,❌
School,0.40,❌,✅,✅,❌,❌
SellingGoods,0.00,❌,❌,❌,❌,❌
Sightseeing,0.00,❌,❌,❌,❌,❌
SmartHomeAutomationSystem,0.20,❌,❌,❌,❌,✅
Sober,0.20,❌,✅,❌,❌,❌
StudentAppointment,0.20,❌,❌,✅,❌,❌
TeamSportsScoutingSystem,0.40,✅,✅,❌,❌,❌
TileOGame,0.40,✅,❌,✅,❌,❌
TransportCompany,0.00,❌,❌,❌,❌,❌
TreatmentPlans,0.00,❌,❌,❌,❌,❌
TruckLogistics,0.00,❌,❌,❌,❌,❌
University,0.00,❌,❌,❌,❌,❌
eHome2020,0.00,❌,❌,❌,❌,❌
