systemname,passrate,uml1,uml2,uml3,uml4,uml5
AirTravel,0.80,✅,✅,❌,✅,✅
AlphaInsurance,1.00,✅,✅,✅,✅,✅
BankAccount,1.00,✅,✅,✅,✅,✅
Boeing,1.00,✅,✅,✅,✅,✅
BuildingManagement,0.20,✅,❌,❌,❌,❌
BusTransportationManagementSystem,1.00,✅,✅,✅,✅,✅
CardGameApp,1.00,✅,✅,✅,✅,✅
CelO,1.00,✅,✅,✅,✅,✅
ClothingCompany,0.80,✅,✅,✅,❌,✅
Cruise,1.00,✅,✅,✅,✅,✅
DestroyBlockGame,0.60,✅,❌,✅,✅,❌
EUScienceConnect,1.00,✅,✅,✅,✅,✅
Ebike,0.80,✅,✅,✅,✅,❌
Facepage,1.00,✅,✅,✅,✅,✅
FilmSet,0.80,✅,✅,✅,✅,❌
FitnessCompanyConan,1.00,✅,✅,✅,✅,✅
GameArea,1.00,✅,✅,✅,✅,✅
GasStation_KUL,1.00,✅,✅,✅,✅,✅
GasStation_TUW,1.00,✅,✅,✅,✅,✅
HelpingHands,0.80,✅,✅,✅,✅,❌
HomeForTheElderly,1.00,✅,✅,✅,✅,✅
HospitalHouseMD,1.00,✅,✅,✅,✅,✅
HotelBookingManagementSystem,0.80,✅,✅,❌,✅,✅
House,1.00,✅,✅,✅,✅,✅
Kinepolis,1.00,✅,✅,✅,✅,✅
LabTracker,1.00,✅,✅,✅,✅,✅
Louvre,1.00,✅,✅,✅,✅,✅
Menso,1.00,✅,✅,✅,✅,✅
Musicmatic,1.00,✅,✅,✅,✅,✅
OnlineTutoringSystem,1.00,✅,✅,✅,✅,✅
PizzaDeliveryWithEntertainment,1.00,✅,✅,✅,✅,✅
ProjectManagement,0.80,✅,✅,✅,❌,✅
School,0.60,✅,✅,❌,❌,✅
SellingGoods,1.00,✅,✅,✅,✅,✅
Sightseeing,1.00,✅,✅,✅,✅,✅
SmartHomeAutomationSystem,1.00,✅,✅,✅,✅,✅
Sober,0.40,❌,❌,✅,❌,✅
StudentAppointment,1.00,✅,✅,✅,✅,✅
TeamSportsScoutingSystem,1.00,✅,✅,✅,✅,✅
TileOGame,0.80,✅,✅,❌,✅,✅
TransportCompany,0.80,✅,✅,✅,✅,❌
TreatmentPlans,1.00,✅,✅,✅,✅,✅
TruckLogistics,1.00,✅,✅,✅,✅,✅
University,1.00,✅,✅,✅,✅,✅
eHome2020,1.00,✅,✅,✅,✅,✅
