systemname,passrate,uml1,uml2,uml3,uml4,uml5
AirTravel,1.00,✅,✅,✅,✅,✅
AlphaInsurance,1.00,✅,✅,✅,✅,✅
BankAccount,1.00,✅,✅,✅,✅,✅
Boeing,1.00,✅,✅,✅,✅,✅
BuildingManagement,1.00,✅,✅,✅,✅,✅
BusTransportationManagementSystem,1.00,✅,✅,✅,✅,✅
CardGameApp,0.80,✅,✅,❌,✅,✅
CelO,1.00,✅,✅,✅,✅,✅
ClothingCompany,1.00,✅,✅,✅,✅,✅
Cruise,1.00,✅,✅,✅,✅,✅
DestroyBlockGame,1.00,✅,✅,✅,✅,✅
EUScienceConnect,1.00,✅,✅,✅,✅,✅
Ebike,1.00,✅,✅,✅,✅,✅
Facepage,1.00,✅,✅,✅,✅,✅
FilmSet,1.00,✅,✅,✅,✅,✅
FitnessCompanyConan,1.00,✅,✅,✅,✅,✅
GameArea,1.00,✅,✅,✅,✅,✅
GasStation_KUL,1.00,✅,✅,✅,✅,✅
GasStation_TUW,1.00,✅,✅,✅,✅,✅
HelpingHands,1.00,✅,✅,✅,✅,✅
HomeForTheElderly,1.00,✅,✅,✅,✅,✅
HospitalHouseMD,1.00,✅,✅,✅,✅,✅
HotelBookingManagementSystem,1.00,✅,✅,✅,✅,✅
House,1.00,✅,✅,✅,✅,✅
Kinepolis,1.00,✅,✅,✅,✅,✅
LabTracker,1.00,✅,✅,✅,✅,✅
Louvre,0.80,✅,✅,✅,✅,❌
Menso,1.00,✅,✅,✅,✅,✅
Musicmatic,1.00,✅,✅,✅,✅,✅
OnlineTutoringSystem,1.00,✅,✅,✅,✅,✅
PizzaDeliveryWithEntertainment,1.00,✅,✅,✅,✅,✅
ProjectManagement,1.00,✅,✅,✅,✅,✅
School,1.00,✅,✅,✅,✅,✅
SellingGoods,1.00,✅,✅,✅,✅,✅
Sightseeing,1.00,✅,✅,✅,✅,✅
SmartHomeAutomationSystem,1.00,✅,✅,✅,✅,✅
Sober,1.00,✅,✅,✅,✅,✅
StudentAppointment,1.00,✅,✅,✅,✅,✅
TeamSportsScoutingSystem,1.00,✅,✅,✅,✅,✅
TileOGame,1.00,✅,✅,✅,✅,✅
TransportCompany,1.00,✅,✅,✅,✅,✅
TreatmentPlans,0.80,✅,✅,❌,✅,✅
TruckLogistics,1.00,✅,✅,✅,✅,✅
University,1.00,✅,✅,✅,✅,✅
eHome2020,1.00,✅,✅,✅,✅,✅
