Group,System,File,Type,BLEU,ROUGE-1,ROUGE-2
0.6b,AirTravel,1.puml,Candidate,0.14279486936087635,0.3323615160349854,0.11143695014662756
0.6b,AirTravel,2.puml,Candidate,0.005725789271577688,0.10526315789473682,0.01515151515151515
0.6b,AirTravel,3.puml,Candidate,0.06484445005115608,0.05166051660516605,0.0
0.6b,AirTravel,4.puml,Candidate,0.0006120706728018646,0.06086956521739131,0.017543859649122806
0.6b,AirTravel,5.puml,Candidate,0.08985793638516493,0.26582278481012656,0.08917197452229299
0.6b,AirTravel,AVERAGE,System_Average,0.06076702314831538,0.16319550811248124,0.0466608598939117
0.6b,AlphaInsurance,1.puml,Candidate,0.031894948122072275,0.07655502392344497,0.00966183574879227
0.6b,AlphaInsurance,2.puml,Candidate,0.08960441860291762,0.18930041152263374,0.05809128630705395
0.6b,AlphaInsurance,3.puml,Candidate,0.0030032309460540146,0.07142857142857142,0.020618556701030927
0.6b,AlphaInsurance,4.puml,Candidate,0.059907248683449654,0.1328125,0.031496062992125984
0.6b,AlphaInsurance,5.puml,Candidate,0.16326530612244897,0.3125,0.05314009661835749
0.6b,AlphaInsurance,AVERAGE,System_Average,0.0695350304953885,0.15651930137493003,0.034601567673472125
0.6b,BankAccount,1.puml,Candidate,0.11607142857142856,0.22009569377990432,0.019323671497584544
0.6b,BankAccount,2.puml,Candidate,0.04260651629072681,0.08762886597938145,0.005181347150259067
0.6b,BankAccount,3.puml,Candidate,0.15841584158415845,0.1212121212121212,0.0
0.6b,BankAccount,4.puml,Candidate,0.14411839005215743,0.10256410256410256,0.0
0.6b,BankAccount,5.puml,Candidate,0.11109359283323919,0.17475728155339806,0.039603960396039604
0.6b,BankAccount,AVERAGE,System_Average,0.11446115386634208,0.14125161301778152,0.012821795808776643
0.6b,Boeing,1.puml,Candidate,0.23140495867768596,0.3,0.031007751937984496
0.6b,Boeing,2.puml,Candidate,0.05425133206715343,0.07017543859649124,0.011834319526627219
0.6b,Boeing,3.puml,Candidate,0.1665698269871718,0.25806451612903225,0.032520325203252036
0.6b,Boeing,4.puml,Candidate,0.04088805948751623,0.13259668508287295,0.0335195530726257
0.6b,Boeing,5.puml,Candidate,0.039852946158832586,0.12269938650306748,0.04968944099378882
0.6b,Boeing,AVERAGE,System_Average,0.10659342467567198,0.17670720526229278,0.03171427814685566
0.6b,BuildingManagement,1.puml,Candidate,0.07470249067574743,0.17560975609756097,0.02955665024630542
0.6b,BuildingManagement,2.puml,Candidate,0.3063583815028902,0.24260355029585798,0.02976190476190476
0.6b,BuildingManagement,3.puml,Candidate,0.11372976846112552,0.2232142857142857,0.027027027027027025
0.6b,BuildingManagement,4.puml,Candidate,0.14184397163120568,0.16289592760180996,0.018181818181818184
0.6b,BuildingManagement,5.puml,Candidate,0.017110373438786446,0.06,0.010101010101010102
0.6b,BuildingManagement,AVERAGE,System_Average,0.13074899714195104,0.17286470394190293,0.022925682063613097
